first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,14,1:45:57,first,453.68,25,Yes,1652.29,No,# 25,On Track to Qualify
Seth,Rider,Seth Rider,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,16,1:46:09,first,388.18,32,Yes,1213.49,Yes,# 32,Not on Track to Qualify
Morgan,Pearson,Morgan Pearson,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,2,1:44:25,first,1156.25,42,Yes,1164.47,Yes,# 42,Not on Track to Qualify
Alex,Yee,Alex Yee,Great Britain,GBR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,1,0:52:53,first,750,2,Yes,4346.41,No,# 2,On Track to Qualify
Vincent,Luis,Vincent Luis,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,4,0:53:11,first,593.59,4,Yes,3684.8900000000003,No,# 4,On Track to Qualify
Hayden,Wilde,Hayden Wilde,New Zealand,NZL,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,46,0:55:24,first,22.46,5,Yes,3178.32,No,# 5,On Track to Qualify
Manoel,Massias,Manoel Massias,Brazil,BRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,3,0:53:06,first,641.72,6,Yes,3198.4000000000005,No,# 6,On Track to Qualify
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,11,0:53:28,first,343.94,8,Yes,2765.93,No,# 8,On Track to Qualify
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,8,0:53:19,first,434.56,9,Yes,2648.18,Yes,# 9,On Track to Qualify
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,2,0:52:59,first,693.75,10,Yes,2578.46,No,# 10,On Track to Qualify
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,7,0:53:18,first,469.8,11,Yes,2398.7999999999997,No,# 11,On Track to Qualify
Matthew,Hauser,Matthew Hauser,Australia,AUS,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,18,0:53:42,first,199.28,13,Yes,2373.54,No,# 13,On Track to Qualify
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,25,0:53:55,first,115.47,22,Yes,1689.5500000000002,No,# 22,On Track to Qualify
Dorian,Coninx,Dorian Coninx,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,5,0:53:14,first,549.07,24,Yes,1664.21,No,# 24,On Track to Qualify
Hayden,Wilde,Hayden Wilde,New Zealand,NZL,2023-03-25,2023 World Triathlon Cup New Plymouth,1,0:55:57,first,375,5,Yes,3553.32,No,# 5,On Track to Qualify
Seth,Rider,Seth Rider,United States,USA,2023-03-25,2023 World Triathlon Cup New Plymouth,6,0:57:05,first,253.95000000000002,32,Yes,1467.44,Yes,# 32,Not on Track to Qualify
