first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Dorian,Coninx,Dorian Coninx,France,FRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,28,0:00:00,first,106.62,24,Yes,106.62,No,# 24,On Track to Qualify
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,31,0:20:16,first,84.38,26,Yes,84.38,No,# 26,On Track to Qualify
Léo,Bergere,Léo Bergere,France,FRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,4,0:53:29,first,593.59,1,Yes,2036.0100000000002,No,# 1,On Track to Qualify
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-07-09,2022 World Triathlon Championship Series Hamburg,5,0:53:36,first,549.07,3,Yes,1676.15,No,# 3,On Track to Qualify
Vincent,Luis,Vincent Luis,France,FRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,11,0:53:44,first,343.94,4,Yes,1308.3,No,# 4,On Track to Qualify
Hayden,Wilde,Hayden Wilde,New Zealand,NZL,2022-07-09,2022 World Triathlon Championship Series Hamburg,1,0:53:10,first,750,5,Yes,2309.38,No,# 5,On Track to Qualify
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,10,0:53:43,first,371.82,7,Yes,1214.53,No,# 7,On Track to Qualify
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-07-09,2022 World Triathlon Championship Series Hamburg,7,0:53:38,first,469.8,10,Yes,1063.39,No,# 10,On Track to Qualify
Joao,Silva,Joao Silva,Portugal,POR,2022-07-09,2022 World Triathlon Championship Series Hamburg,8,0:53:40,first,434.56,12,Yes,1265.69,No,# 12,On Track to Qualify
Matthew,Hauser,Matthew Hauser,Australia,AUS,2022-07-09,2022 World Triathlon Championship Series Hamburg,2,0:53:13,first,693.75,13,Yes,800.56,No,# 13,On Track to Qualify
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,MAR,2022-07-09,2022 World Triathlon Championship Series Hamburg,3,0:53:26,first,641.72,14,Yes,1148.71,No,# 14,On Track to Qualify
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-07-09,2022 World Triathlon Championship Series Hamburg,14,0:53:54,first,272.21,15,Yes,602.8599999999999,No,# 15,On Track to Qualify
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-07-09,2022 World Triathlon Championship Series Hamburg,17,0:53:58,first,215.44,16,Yes,487.65,No,# 16,On Track to Qualify
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-07-09,2022 World Triathlon Championship Series Hamburg,12,0:53:45,first,318.14,18,Yes,845.81,No,# 18,On Track to Qualify
Tom,Richard,Tom Richard,France,FRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,6,0:53:37,first,507.89,20,Yes,901.0799999999999,No,# 20,On Track to Qualify
