first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-07-09,2022 World Triathlon Championship Series Hamburg,17,0:59:43,first,215.44,21,Yes,907.96,No,# 21
Emy,Legault,Emy Legault,Canada,CAN,2022-07-09,2022 World Triathlon Championship Series Hamburg,10,0:59:11,first,371.82,22,Yes,1089.87,No,# 22
Nina,Eim,Nina Eim,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,9,0:59:09,first,401.97,23,Yes,517.44,No,# 23
Lena,Meißner,Lena Meißner,Germany,GER,2022-07-24,2022 World Triathlon Cup Pontevedra,10,1:58:51,first,247.88,8,Yes,247.88,No,# 8
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-07-24,2022 World Triathlon Cup Pontevedra,2,1:57:55,first,462.5,14,Yes,1104.22,No,# 14
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-07-24,2022 World Triathlon Cup Pontevedra,11,1:58:54,first,229.29,20,Yes,229.29,No,# 20
Sandra,Dodet,Sandra Dodet,France,FRA,2022-07-24,2022 World Triathlon Cup Pontevedra,3,1:58:08,first,427.81,26,Yes,802.81,No,# 26
Cassandre,Beaugrand,Cassandre Beaugrand,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,5,1:53:05,first,399.72,4,Yes,1959.1000000000001,No,# 4
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2022-08-12,2022 Europe Triathlon Championships Munich,7,1:53:23,first,325.73,7,Yes,697.55,No,# 7
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,2,1:52:19,first,577.2,9,Yes,1634.16,No,# 9
Emma,Lombardi,Emma Lombardi,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,3,1:52:22,first,511.67,11,Yes,534.13,No,# 11
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,13,1:54:03,first,204.03,14,Yes,1308.25,No,# 14
Leonie,Periault,Leonie Periault,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,28,1:58:24,first,63.36,16,Yes,63.36,No,# 16
Julie,Derron,Julie Derron,Switzerland,SUI,2022-08-12,2022 Europe Triathlon Championships Munich,6,1:53:10,first,352.14,19,Yes,1395.27,No,# 19
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-08-12,2022 Europe Triathlon Championships Munich,8,1:53:32,first,301.3,21,Yes,1209.26,No,# 21
Nina,Eim,Nina Eim,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,4,1:52:51,first,452.72,23,Yes,970.1600000000001,No,# 23
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-08-28,2022 World Triathlon Cup Bergen,4,1:03:00,first,296.79,20,Yes,526.08,No,# 20
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-08-28,2022 World Triathlon Cup Bergen,19,1:04:00,first,92.17,21,Yes,1301.43,No,# 21
