first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,current_sum
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,12,0:58:58,first,318.14,7,Yes,
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2022-05-28,2022 World Triathlon Cup Arzachena,5,1:00:52,first,274.54,7,No,
Lena,Meißner,Lena Meißner,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,3,1:55:59,first,1069.53,8,Yes,
Lena,Meißner,Lena Meißner,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,5,0:58:39,first,549.07,8,Yes,
Lena,Meißner,Lena Meißner,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,11,1:49:39,first,458.58,8,Yes,
Lena,Meißner,Lena Meißner,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,11,2:05:15,first,458.58,8,Yes,
Lena,Meißner,Lena Meißner,Germany,GER,2022-07-24,2022 World Triathlon Cup Pontevedra,10,1:58:51,first,247.88,8,Yes,
Lena,Meißner,Lena Meißner,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,13,2:08:00,first,196.19,8,Yes,
Lena,Meißner,Lena Meißner,Germany,GER,2022-09-03,2022 World Triathlon Cup Valencia,17,0:56:11,first,107.72,8,No,
Lena,Meißner,Lena Meißner,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,31,1:00:12,first,72.33,8,No,
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,4,2:04:00,first,791.45,9,Yes,
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,2,1:52:19,first,577.2,9,Yes,
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,5,0:59:00,first,549.07,9,Yes,
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-06-11,2022 World Triathlon Championship Series Leeds,6,0:59:39,first,507.89,9,Yes,
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,15,1:50:24,first,335.73,9,Yes,
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,34,2:00:59,first,95.41,9,Yes,
Taylor,Knibb,Taylor Knibb,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,4,1:56:40,first,989.32,10,Yes,
Taylor,Knibb,Taylor Knibb,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,2,2:03:04,first,925,10,Yes,
Taylor,Knibb,Taylor Knibb,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,3,1:47:58,first,855.63,10,Yes,
Emma ,Lombardi,Emma Lombardi,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,2,1:47:54,first,925,11,Yes,
Emma ,Lombardi,Emma Lombardi,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,8,1:57:50,first,724.27,11,Yes,
Emma ,Lombardi,Emma Lombardi,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,3,1:52:22,first,511.67,11,Yes,
Emma ,Lombardi,Emma Lombardi,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,8,0:58:46,first,434.56,11,Yes,
Emma ,Lombardi,Emma Lombardi,France,FRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,46,1:02:59,first,22.46,11,Yes,
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-11-05,2022 World Triathlon Championship Series Bermuda,8,2:04:38,first,579.42,12,Yes,
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,14,1:58:47,first,453.68,12,Yes,
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,10,0:25:25,first,433.79,12,Yes,
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,9,0:58:48,first,401.97,12,Yes,
