first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-09-03,2022 World Triathlon Cup Valencia,7,0:50:51,first,234.9,26,Yes
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-08-12,2022 Europe Triathlon Championships Munich,23,1:44:14,first,93.57,26,Yes
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,31,0:20:16,first,84.38,26,Yes
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,41,1:48:26,first,55.28,26,No
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-06-11,2022 World Triathlon Championship Series Leeds,41,0:56:08,first,33.17,26,No
Gábor,Faldum,Gábor Faldum,Hungary,HUN,2022-10-15,2022 World Triathlon Cup Tongyeong,2,1:45:09,first,462.5,27,Yes
Gábor,Faldum,Gábor Faldum,Hungary,HUN,2022-10-08,2022 World Triathlon Championship Series Cagliari,16,1:41:13,first,310.55,27,Yes
Gábor,Faldum,Gábor Faldum,Hungary,HUN,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,13,0:53:34,first,294.28,27,Yes
Gábor,Faldum,Gábor Faldum,Hungary,HUN,2022-09-11,2022 World Triathlon Cup Karlovy Vary,10,1:52:35,first,247.88,27,Yes
Gábor,Faldum,Gábor Faldum,Hungary,HUN,2022-07-09,2022 World Triathlon Championship Series Hamburg,16,0:53:57,first,232.91,27,Yes
Gábor,Faldum,Gábor Faldum,Hungary,HUN,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,31,0:20:16,first,84.38,27,Yes
Gábor,Faldum,Gábor Faldum,Hungary,HUN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,49,1:50:01,first,29.63,27,No
Jonathan,Brownlee,Jonathan Brownlee,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,2,1:40:26,first,925,28,Yes
Jonathan,Brownlee,Jonathan Brownlee,Great Britain,GBR,2022-05-28,2022 World Triathlon Cup Arzachena,1,0:54:08,first,375,28,Yes
Jonathan,Brownlee,Jonathan Brownlee,Great Britain,GBR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,26,1:46:38,first,178.01,28,Yes
Jonathan,Brownlee,Jonathan Brownlee,Great Britain,GBR,2022-08-28,2022 World Triathlon Cup Bergen,16,0:57:04,first,116.45,28,Yes
Miguel,Hidalgo,Miguel Hidalgo,Brazil,BRA,2022-06-11,2022 World Triathlon Championship Series Leeds,6,0:53:53,first,507.89,29,Yes
Miguel,Hidalgo,Miguel Hidalgo,Brazil,BRA,2022-06-18,2022 World Triathlon Cup Huatulco*,3,0:53:50,first,320.86,29,Yes
Miguel,Hidalgo,Miguel Hidalgo,Brazil,BRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,16,0:22:15,first,271.73,29,Yes
Miguel,Hidalgo,Miguel Hidalgo,Brazil,BRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,16,0:53:39,first,232.91,29,Yes
Miguel,Hidalgo,Miguel Hidalgo,Brazil,BRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,26,1:52:04,first,142.41,29,Yes
Miguel,Hidalgo,Miguel Hidalgo,Brazil,BRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,29,1:42:43,first,112.71,29,Yes
Miguel,Hidalgo,Miguel Hidalgo,Brazil,BRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,47,1:49:40,first,34.63,29,No
Sylvain,Fridelance,Sylvain Fridelance,Switzerland,SUI,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,12,0:22:04,first,371.17,30,Yes
Sylvain,Fridelance,Sylvain Fridelance,Switzerland,SUI,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,18,1:46:12,first,332.14,30,Yes
Sylvain,Fridelance,Sylvain Fridelance,Switzerland,SUI,2022-08-28,2022 World Triathlon Cup Bergen,8,0:56:16,first,217.28,30,Yes
Sylvain,Fridelance,Sylvain Fridelance,Switzerland,SUI,2022-06-11,2022 World Triathlon Championship Series Leeds,17,0:54:21,first,215.44,30,Yes
Sylvain,Fridelance,Sylvain Fridelance,Switzerland,SUI,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,17,0:53:41,first,215.44,30,Yes
Sylvain,Fridelance,Sylvain Fridelance,Switzerland,SUI,2022-11-05,2022 World Triathlon Championship Series Bermuda,21,1:51:32,first,210.3,30,Yes
Sylvain,Fridelance,Sylvain Fridelance,Switzerland,SUI,2022-08-12,2022 Europe Triathlon Championships Munich,36,1:45:45,first,33.96,30,No
Pierre,Le Corre,Pierre Le Corre,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,2,1:41:17,first,577.2,31,Yes
Pierre,Le Corre,Pierre Le Corre,France,FRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,7,0:22:11,first,548.1,31,Yes
Pierre,Le Corre,Pierre Le Corre,France,FRA,2022-06-11,2022 World Triathlon Championship Series Leeds,13,0:54:12,first,294.28,31,Yes
Pierre,Le Corre,Pierre Le Corre,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,34,1:43:25,first,76.33,31,Yes
Seth,Rider,Seth Rider,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,16,1:46:09,first,388.18,32,Yes
Seth,Rider,Seth Rider,United States,USA,2022-08-28,2022 World Triathlon Cup Bergen,6,0:56:02,first,253.95,32,Yes
Seth,Rider,Seth Rider,United States,USA,2023-03-25,2023 World Triathlon Cup New Plymouth,6,0:57:05,first,253.95,32,Yes
Seth,Rider,Seth Rider,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,19,1:41:28,first,245.78,32,Yes
Seth,Rider,Seth Rider,United States,USA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,15,1:53:01,first,167.86,32,Yes
Seth,Rider,Seth Rider,United States,USA,2022-07-09,2022 World Triathlon Championship Series Hamburg,21,0:54:07,first,157.72,32,Yes
Seth,Rider,Seth Rider,United States,USA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,40,0:20:32,first,41.83,32,No
Seth,Rider,Seth Rider,United States,USA,2022-06-11,2022 World Triathlon Championship Series Leeds,42,0:56:10,first,30.68,32,No
Max,Studer,Max Studer,Switzerland,SUI,2022-07-24,2022 World Triathlon Cup Pontevedra,3,1:47:17,first,427.81,33,Yes
Max,Studer,Max Studer,Switzerland,SUI,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,9,0:53:20,first,401.97,33,Yes
Max,Studer,Max Studer,Switzerland,SUI,2022-05-28,2022 World Triathlon Cup Arzachena,5,0:55:00,first,274.54,33,Yes
Max,Studer,Max Studer,Switzerland,SUI,2022-08-28,2022 World Triathlon Cup Bergen,12,0:56:48,first,159.07,33,Yes
Max,Studer,Max Studer,Switzerland,SUI,2022-08-12,2022 Europe Triathlon Championships Munich,22,1:44:12,first,101.15,33,Yes
Max,Studer,Max Studer,Switzerland,SUI,2022-07-09,2022 World Triathlon Championship Series Hamburg,35,0:54:44,first,52.95,33,Yes
Joao,Pereira,Joao Pereira,Portugal,POR,2022-08-12,2022 Europe Triathlon Championships Munich,6,1:41:49,first,352.14,34,Yes
Joao,Pereira,Joao Pereira,Portugal,POR,2022-07-24,2022 World Triathlon Cup Pontevedra,7,1:47:57,first,313.2,34,Yes
Joao,Pereira,Joao Pereira,Portugal,POR,2022-06-18,2022 World Triathlon Cup Huatulco*,7,0:53:56,first,234.9,34,Yes
Joao,Pereira,Joao Pereira,Portugal,POR,2022-09-11,2022 World Triathlon Cup Karlovy Vary,13,1:53:01,first,196.19,34,Yes
Joao,Pereira,Joao Pereira,Portugal,POR,2022-10-08,2022 World Triathlon Championship Series Cagliari,23,1:41:56,first,179.94,34,Yes
Joao,Pereira,Joao Pereira,Portugal,POR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,23,0:53:53,first,134.95,34,Yes
Joao,Pereira,Joao Pereira,Portugal,POR,2022-11-05,2022 World Triathlon Championship Series Bermuda,29,1:52:33,first,112.71,34,No
Joao,Pereira,Joao Pereira,Portugal,POR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,38,1:48:01,first,69.85,34,No
Richard,Murray,Richard Murray,Netherlands,NED,2022-06-11,2022 World Triathlon Championship Series Leeds,7,0:53:57,first,469.8,35,Yes
Richard,Murray,Richard Murray,Netherlands,NED,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,15,0:22:12,first,293.76,35,Yes
Richard,Murray,Richard Murray,Netherlands,NED,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,14,0:53:36,first,272.21,35,Yes
Richard,Murray,Richard Murray,Netherlands,NED,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,21,1:46:23,first,262.87,35,Yes
Richard,Murray,Richard Murray,Netherlands,NED,2022-07-09,2022 World Triathlon Championship Series Hamburg,37,0:55:03,first,45.31,35,Yes
Richard,Murray,Richard Murray,Netherlands,NED,2022-08-12,2022 Europe Triathlon Championships Munich,37,1:45:59,first,31.41,35,Yes
Johannes,Vogel,Johannes Vogel,Germany,GER,2022-07-24,2022 World Triathlon Cup Pontevedra,6,1:47:57,first,338.59,36,Yes
Johannes,Vogel,Johannes Vogel,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,17,1:41:16,first,287.26,36,Yes
Johannes,Vogel,Johannes Vogel,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,19,1:51:16,first,245.78,36,Yes
Johannes,Vogel,Johannes Vogel,Germany,GER,2022-10-15,2022 World Triathlon Cup Tongyeong,11,1:45:49,first,229.29,36,Yes
Johannes,Vogel,Johannes Vogel,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,14,1:53:01,first,181.47,36,Yes
Johannes,Vogel,Johannes Vogel,Germany,GER,2022-08-28,2022 World Triathlon Cup Bergen,19,0:57:12,first,92.17,36,Yes
Johannes,Vogel,Johannes Vogel,Germany,GER,2022-05-28,2022 World Triathlon Cup Arzachena,29,0:58:04,first,42.27,36,No
Johannes,Vogel,Johannes Vogel,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,49,0:55:44,first,17.78,36,No
Diego,Moya,Diego Moya,Chile,CHI,2022-10-29,2022 Americas Triathlon Championships Montevideo,2,1:51:24,first,519.48,37,Yes
Diego,Moya,Diego Moya,Chile,CHI,2022-11-13,2022 World Triathlon Cup Vina del Mar,2,0:50:55,first,346.88,37,Yes
Diego,Moya,Diego Moya,Chile,CHI,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,18,0:22:24,first,232.5,37,Yes
Diego,Moya,Diego Moya,Chile,CHI,2022-06-18,2022 World Triathlon Cup Huatulco*,9,0:54:04,first,200.99,37,Yes
Diego,Moya,Diego Moya,Chile,CHI,2022-07-24,2022 World Triathlon Cup Pontevedra,36,1:51:27,first,32.65,37,Yes
Diego,Moya,Diego Moya,Chile,CHI,2023-03-25,2023 World Triathlon Cup New Plymouth,33,0:58:18,first,30.94,37,Yes
Diego,Moya,Diego Moya,Chile,CHI,2022-09-11,2022 World Triathlon Cup Karlovy Vary,37,1:56:58,first,30.2,37,No
Bence,Bicsák,Bence Bicsák,Hungary,HUN,2022-11-05,2022 World Triathlon Championship Series Bermuda,8,1:50:14,first,579.42,38,Yes
Bence,Bicsák,Bence Bicsák,Hungary,HUN,2022-08-12,2022 Europe Triathlon Championships Munich,10,1:42:46,first,257.8,38,Yes
Bence,Bicsák,Bence Bicsák,Hungary,HUN,2022-09-03,2022 World Triathlon Cup Valencia,10,0:50:54,first,185.91,38,Yes
Bence,Bicsák,Bence Bicsák,Hungary,HUN,2022-07-09,2022 World Triathlon Championship Series Hamburg,22,0:54:11,first,145.89,38,Yes
Bence,Bicsák,Bence Bicsák,Hungary,HUN,2022-06-11,2022 World Triathlon Championship Series Leeds,24,0:54:36,first,124.83,38,Yes
Bence,Bicsák,Bence Bicsák,Hungary,HUN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,42,1:48:29,first,51.14,38,Yes
Bence,Bicsák,Bence Bicsák,Hungary,HUN,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,43,0:54:57,first,28.38,38,No
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2022-10-29,2022 World Triathlon Cup Miyazaki,2,0:53:17,first,346.88,39,Yes
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2022-05-28,2022 World Triathlon Cup Arzachena,6,0:55:13,first,253.95,39,Yes
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2022-09-03,2022 World Triathlon Cup Valencia,6,0:50:49,first,253.95,39,Yes
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2022-09-11,2022 World Triathlon Cup Karlovy Vary,12,1:52:53,first,212.09,39,Yes
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2022-10-15,2022 World Triathlon Cup Tongyeong,16,1:46:22,first,155.27,39,Yes
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2022-07-09,2022 World Triathlon Championship Series Hamburg,26,0:54:21,first,106.81,39,Yes
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,27,0:53:57,first,98.8,39,No
Alberto,Gonzales Garcia,Alberto Gonzales Garcia,Spain,ESP,2022-08-28,2022 World Triathlon Cup Bergen,29,0:57:49,first,42.27,39,No
Genis,Grau,Genis Grau,Spain,ESP,2022-06-18,2022 World Triathlon Cup Huatulco*,1,0:53:47,first,375,40,Yes
Genis,Grau,Genis Grau,Spain,ESP,2022-07-24,2022 World Triathlon Cup Pontevedra,5,1:47:56,first,366.05,40,Yes
Genis,Grau,Genis Grau,Spain,ESP,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,22,0:22:21,first,170.21,40,Yes
Genis,Grau,Genis Grau,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,25,1:42:11,first,153.96,40,Yes
Genis,Grau,Genis Grau,Spain,ESP,2022-08-12,2022 Europe Triathlon Championships Munich,26,1:44:32,first,74.05,40,Yes
Genis,Grau,Genis Grau,Spain,ESP,2022-08-28,2022 World Triathlon Cup Bergen,22,0:57:31,first,72.95,40,Yes
Genis,Grau,Genis Grau,Spain,ESP,2022-11-13,2022 World Triathlon Cup Vina del Mar,30,0:52:40,first,39.1,40,No
Genis,Grau,Genis Grau,Spain,ESP,2022-06-11,2022 World Triathlon Championship Series Leeds,44,0:56:31,first,26.25,40,No
Ricardo,Batista,Ricardo Batista,Portugal,POR,2023-03-25,2023 World Triathlon Cup New Plymouth,3,0:56:32,first,320.86,41,Yes
Ricardo,Batista,Ricardo Batista,Portugal,POR,2022-10-29,2022 World Triathlon Cup Miyazaki,3,0:53:18,first,320.86,41,Yes
Ricardo,Batista,Ricardo Batista,Portugal,POR,2022-10-15,2022 World Triathlon Cup Tongyeong,12,1:45:50,first,212.09,41,Yes
Ricardo,Batista,Ricardo Batista,Portugal,POR,2022-06-11,2022 World Triathlon Championship Series Leeds,22,0:54:35,first,145.89,41,Yes
Ricardo,Batista,Ricardo Batista,Portugal,POR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,26,0:22:38,first,124.61,41,Yes
Ricardo,Batista,Ricardo Batista,Portugal,POR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,33,0:54:02,first,61.89,41,Yes
Ricardo,Batista,Ricardo Batista,Portugal,POR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,46,1:49:28,first,37.44,41,No
Morgan,Pearson,Morgan Pearson,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,2,1:44:25,first,1156.25,42,Yes
Morgan,Pearson,Morgan Pearson,United States,USA,2022-11-13,2022 World Triathlon Cup Vina del Mar,50,0:54:39,first,8.22,42,Yes
