first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,7,1:50:12,first,626.4,7,Yes
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,3,1:51:42,first,427.81,7,Yes
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,10,0:53:43,first,371.82,7,Yes
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-05-28,2022 World Triathlon Cup Arzachena,9,0:55:18,first,200.99,7,Yes
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,18,1:43:38,first,138.17,7,No
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,52,1:50:33,first,23.45,7,No
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-11-05,2022 World Triathlon Championship Series Bermuda,2,1:49:45,first,925,8,Yes
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-07-24,2022 World Triathlon Cup Pontevedra,2,1:47:12,first,462.5,8,Yes
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-06-11,2022 World Triathlon Championship Series Leeds,9,0:54:00,first,401.97,8,Yes
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,11,0:53:28,first,343.94,8,Yes
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,15,1:41:12,first,335.73,8,Yes
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-09-03,2022 World Triathlon Cup Valencia,4,0:50:34,first,296.79,8,Yes
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,29,0:00:00,first,98.62,8,No
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-05-28,2022 World Triathlon Cup Arzachena,20,0:56:04,first,85.26,8,No
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,37,1:47:51,first,75.51,8,No
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-07-09,2022 World Triathlon Championship Series Hamburg,48,0:56:51,first,19.22,8,No
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-08-12,2022 Europe Triathlon Championships Munich,49,1:49:15,first,12.33,8,No
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,10,1:45:26,first,619.71,9,Yes
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-10-15,2022 World Triathlon Cup Tongyeong,1,1:44:49,first,500,9,Yes
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,2,1:51:20,first,462.5,9,Yes
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,8,0:53:19,first,434.56,9,Yes
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-09-03,2022 World Triathlon Cup Valencia,3,0:50:25,first,320.86,9,Yes
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,16,1:51:09,first,310.55,9,Yes
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-06-11,2022 World Triathlon Championship Series Leeds,16,0:54:18,first,232.91,9,No
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,20,0:25:02,first,198.93,9,No
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-08-28,2022 World Triathlon Cup Bergen,11,0:56:38,first,171.97,9,No
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,2,0:52:59,first,693.75,10,Yes
